epoch,batch,loss,accuracy,elapsed_time
1,1,1.6025,34.38,20.2
1,2,1.8137,23.44,21.5
1,3,1.4637,50.00,22.8
1,4,1.6153,45.31,24.1
1,5,1.6952,34.38,25.4
1,6,1.7208,37.50,26.6
1,7,1.7605,26.56,27.8
1,8,1.6554,32.81,29.1
1,9,1.4064,53.12,30.4
1,10,1.6829,40.62,31.6
1,11,1.5800,35.94,32.8
1,12,1.6623,42.19,34.0
1,13,1.7439,35.94,35.6
1,14,1.7290,37.50,36.8
1,15,1.9253,23.44,37.9
1,16,1.8917,21.88,39.1
1,17,1.6639,43.75,40.5
1,18,1.5050,46.88,41.9
1,19,1.7052,42.19,43.3
1,20,1.5326,42.19,44.6
1,21,1.5425,48.44,46.0
